energy          cross_section          cross_section_error 
3.80765           429.7631277217191          128.38895210104045 
3.89624           2147.9516917130477          126.28853156301875 
4.00762           6132.096683689927          45.71680449147066 
4.08545           8905.676957018486          152.2207567426426 
4.12848           8476.183916155273          55.737312339081555 
4.15744           8798.644004006632          56.44606206690523 
4.18859           8254.466759045317          170.7424233431277 
4.1888           7925.924335908517          48.01534174849763 
4.1989           7588.693450977436          47.6601213020102 
4.20773           7573.55049226857          147.2026176363259 
4.2092           6774.368750842883          46.62290708259629 
4.21713           6498.182705433219          142.93713684029748 
4.2187           5949.383741918207          44.98677846028211 
4.22626           5263.854342416785          30.205696999251906 
4.2357           4537.271690578438          41.57460865431573 
4.24166           4148.254351777439          128.8026149422368 
4.2438           4246.934528064111          40.72265982532963 
4.25797           4121.273615028063          32.98951038393492 
4.2668           4119.779991377752          40.53397872777633 
4.2777           4054.0827654957675          70.254282916183 
4.28788           3998.721159078138          41.81572351535187 
4.30789           4537.775061261709          142.75413305879422 
4.31205           4244.045056316857          42.2762344595775 
4.33739           5049.861533099115          43.440977968401675 
4.35826           5855.917900210201          42.911905295767745 
4.37737           6499.122104591237          44.89774986622381 
4.3874           7305.9922087757495          139.59238459218915 
4.39645           7127.028251013754          46.55794487238541 
4.41558           7549.125450752153          32.05656162801705 
4.43624           7659.637282001136          44.639988998883425 
4.46706           6023.026773619231          94.57480654358906 
4.52714           5655.837304116745          91.7894985967552 
4.5745           5287.88134860105          135.98529056679988 
4.59953           5133.112879664599          39.28915690304713 
4.61186           4980.16875168383          92.61196609695173 
4.628           4992.430029644723          41.255550977340526 
4.64091           4900.327445109933          39.99480671751732 
4.66124           5202.9480179918555          41.13372712613461 
4.68192           5380.214314133312          23.353066995375414 
4.69882           5533.615447532756          41.5635230122299 
4.7397           5155.04111453973          74.20287755993978 
4.75005           5176.7236021481685          49.541712768259046 
4.78054           5103.893667862166          41.73057788613959 
4.84307           4698.820109547564          40.4092535251513 
4.91802           4675.57514953034          63.61454287113469 
4.95093           4622.311519118618          73.26975497450131 
