CMS_energy         cross_section         cross_section_error
3.85                275.7065827880264               299.2455355412269
3.89                1344.6077516001692               303.06171361935174
3.895                560.4188094337992               314.05953115599453
3.9                1085.9733047031584               321.4205383041471
3.905                1832.435376959564               313.8611350259287
3.91                1832.603823870707               328.59420470404126
3.915                1845.4544175308079               319.5003503967141
3.92                2347.0326522276764               347.314226161941
3.925                2320.521332513891               354.63921458882027
3.93                2285.2536268888684               351.3517732825566
3.935                2280.8496618740414               333.98825458127345
3.94                2901.1968067766757               337.90277906107616
3.945                2332.1526697783843               330.13182240443456
3.95                3446.627103915577               328.4378791610041
3.955                2599.9652959567547               310.92677135012826
3.96                2855.3322690688733               313.3759323642814
3.965                3372.4397181292707               329.4162587340971
3.97                2596.8311793606495               343.30026518907283
3.975                2879.0680183983304               323.68852565658966
3.98                4075.78481366451               335.6149015210681
3.985                3800.513663870351               333.82460658054777
3.99                3354.5171427698165               328.378937168732
3.995                3638.694860946362               333.15570317349847
4.0                3759.0678665101               337.5034782518657
4.005                3833.1294185573283               342.87398113904015
4.01                4131.380073175478               349.89575963374665
4.012                4337.9175406113045               370.4800199575019
4.014                3818.9004004281715               369.4000783764019
4.016                4593.643899021447               370.5113536758134
4.018                4896.6108631677425               367.23672471964204
4.02                5769.653378571455               387.98348109477035
4.025                6356.012826109922               406.890224814987
4.03                7504.295132388648               263.3680460632253
4.035                8753.396762999999               426.92124572445925
4.04                8821.56273240794               424.57751063875446
4.05                6639.673557999671               408.95142193373914
4.055                7243.368892188469               402.3281044944109
4.06                7460.799423219124               415.73250107950537
4.065                7124.447346596174               393.2769982674885
4.07                7196.857467481819               393.74692254548535
4.08                6865.019269863969               367.51692472862896
4.09                6500.8651453463835               372.8285607449408
4.1                5805.136978670165               370.22111770593676
4.11                7361.746896731541               386.4527122634068
4.12                6343.200121272128               361.08670003063605
4.13                7093.432970907819               386.6972082465359
4.14                6576.196240249347               386.9376001418911
4.145                6495.898282810659               365.01134240156216
4.15                6357.401849631608               373.65359877684995
4.16                6150.45251009112               356.7510907505336
4.17                6494.031253963979               239.17529207805288
4.18                6212.08159571429               377.83432505600007
4.19                5242.076562066429               361.9385428354266
4.195                6399.602138707054               364.6881759077469
4.2                5175.071945429407               350.86366260094763
4.203                5542.253642866291               371.7637270503281
4.206                5502.669469714355               354.92533200279456
4.21                4723.302697971356               339.8771677316261
4.215                4835.5697544472505               335.93935296645543
4.22                3370.4300954247433               318.3325885883355
4.225                3312.2753739853842               311.6056378283568
4.23                2993.8674499241156               301.81424687558086
4.235                2693.9506174692106               292.4645423491873
4.24                2626.4997163890257               320.98355574063885
4.243                3309.2187503556415               295.00672736533545
4.245                2105.5466610448702               279.4180903331819
4.248                2751.2956777844197               289.6693084231155
4.25                2925.3947989077706               291.49610656696814
4.255                2138.5061666246065               283.0035805074509
4.26                2538.6198207328175               285.3119143972957
4.265                2392.4603264667203               283.6282798300098
4.27                2071.463029265043               283.05558713790674
4.275                2092.036041102446               282.72355884845035
4.28                2398.8604483439735               285.7999178092879
4.285                2657.5366981513903               285.60134202567457
4.29                2927.8056332982496               284.007269461317
4.3                2476.562231418897               291.93150183981294
4.31                3452.832246123799               300.52810743632347
4.32                2854.67305857417               279.33813892565036
4.33                2987.487642006265               295.5880210057139
4.34                3111.9226300201813               294.1270687179846
4.35                3564.5565271099385               305.4995192979894
4.36                3853.301061085929               307.30885083112116
4.37                4440.753373586226               313.04404446227176
4.38                3963.710634403021               316.77386563434
4.39                4679.9720967701405               338.94137536840344
4.395                4097.699634558984               334.51305163538007
4.4                4397.568422444421               345.1980028213054
4.41                5092.666751331719               385.3004450020709
4.42                4887.54221928382               336.95568557627155
4.425                5122.335714216598               344.1239238631611
4.43                4852.525186774258               353.08736456337573
4.44                4320.078344854759               330.22032366370786
4.45                4789.9221147575445               339.9214398649766
4.46                3957.7589674837636               302.0303291886641
4.48                4135.858034966738               310.22037465997136
4.5                4285.8737341932665               313.646880311305
4.52                3249.769148386983               286.83024480640097
4.54                3718.254553606578               287.6897683812389
4.55                3026.409104895426               282.40703872806415
4.56                3012.9510235097423               297.5617757419235
4.57                3546.9977197871794               295.0295225806296
4.58                3717.1871949320307               293.8288673668056
4.59                3370.746686663719               290.8545580075426
