4.61186	         4699.791967                     96.86904877   
4.628	           4751.124547                  42.94885288   
4.64091	         4606.382248                     41.65420651   
4.66124	         5058.818024                      42.92560531   
4.68192	         5295.184213                     23.89781445   
4.69882	         5467.196876                      43.27294698   
4.7397	         4947.79881                     77.25282045   
4.75005	         5017.375447                      51.77483736   
4.78054	         4885.832573                      43.55463067   
4.84307	         4394.384809                    42.30129502   
4.91802	         4398.370102                      66.72157729   
4.95093	         4392.226791                      76.8957579   
