                D0                                                    Dp                                                  Dsp                                                                               
3.80765	    157.6086951	    132.3431791         3.80765	        175.2269519	        26.57862252                             3.80765	        0	                0                                                                                                                                                       
3.85	    142.5439095	    343.4486487         3.85	        272.4324191	        67.44237892                             3.85	        0	                0                                                                                                                                                           
3.89	    1318.416427	    315.7981434         3.89	        553.0435328	        77.64184271                             3.89	        0	                0                                                                                                                                                           
3.895	    533.901203	    338.1664461         3.895	        767.3736511	        83.26469749                             3.895	        0	                0                                                                                                                                                           
3.89624	    1347.015413	    128.580714          3.89624	        724.9912763	        32.42267496                             3.89624	        0	                0                                                                                                                                       
3.9	        1162.431926	    337.8093066         3.9	            696.1374176	        82.47306607                             3.9	            0	                0                                                                                                                                                       
3.905	    1725.302331	    332.8729147         3.905	        839.2224165	        85.47310839                             3.905	        0	                0                                                                                                                                                           
3.91	    1815.386747	    344.3415308         3.91	        897.5250032	        89.97043198                             3.91	        0	                0                                                                                                                                                           
3.915	    1710.380546	    339.8939898         3.915	        950.2060398	        91.10604744                             3.915	        0	                0                                                                                                                                                           
3.92	    2262.419015	    365.1824822         3.92	        1005.728672	        96.96072762                             3.92	        0	                0                                                                                                                                                           
3.925	    2350.118757	    371.2924968         3.925	        1098.141543	        100.8126808                             3.925	        0	                0                                                                                                                                                           
3.93	    2253.203123	    368.6560362         3.93	        1026.984074	        97.34971341                             3.93	        0	                0                                                                                                                                                           
3.935	    2163.21079	    352.7397138         3.935	        1218.353144	        99.74664353                             3.935	        0	                0                                                                                                                                                           
3.94	    2818.859293	    357.5319861         3.94	        1497.522664	        102.804422                              3.94	        27.85018196	        52.97449201                                                                                                                                                                  
3.945	    2295.000322	    343.8177726         3.945	        1410.227238	        100.2890685                             3.945	        0.000211587	        0.768963271                   remove                                                                                                                                                      
3.95	    3177.209512	    348.1441519         3.95	        1359.862416	        100.7500001                             3.95	        56.33314796	        64.33530307                                                                                                                                                                   
3.955	    2584.964717	    327.4554763         3.955	        1464.769422	        97.89625412                             3.955	        0.032479834	        3.614971657                    remove                                                                                                                                                 
3.96	    2722.669791	    331.2831285         3.96	        1374.285699	        95.57081395                             3.96	        4.19E-07	        0.00413831                    remove                                                                                                                                                       
3.965	    3317.319572	    348.9855414         3.965	        1590.775342	        102.1082611                             3.965	        6.43E-07	        0.036849299                    remove                                                                                                                                                       
3.97	    2755.019235	    356.4508802         3.97	        1475.732544	        107.4689774                             3.97	        151.0803824	        79.97566709                                                                                                                                                                   
3.975	    2998.015695	    336.2589538         3.975	        1593.0642	        103.2774251                             3.975	        71.53205778	        54.64158349                                                                                                                                                                   
3.98	    3922.821868	    351.7502333         3.98	        1683.813044	        103.8804015                             3.98	        236.4129495	        97.54161973                                                                                                                                                                   
3.985	    3752.506506	    349.7210164         3.985	        1760.553488	        106.6231862                             3.985	        75.86320785	        83.96850062                                                                                                                                                                   
3.99	    3245.267996	    344.1663861         3.99	        1855.83973	        107.619572                              3.99	        1.44E-05	        0.036831884                     remove                                                                                                                                                     
3.995	    3591.735771	    349.0202605         3.995	        1864.903944	        106.9435896                             3.995	        94.92007551	        80.07579267                                                                                                                                                                  
4	        3733.837024	    357.163875          4	            1919.858986	        112.0974832                             4	            197.306804	        90.14821809                                                                                                                                                   
4.005	    3793.799756	    359.6815292         4.005	        1937.562892	        114.4319156                             4.005	        175.5848348	        94.20686941                                                                                                                                                                   
4.00762	    3801.879047	    43.47017063         4.00762	        2012.403896	        14.33260491                             4.00762	        242.0945873	        12.7257863                                                                                                                                                                   
4.01	    4010.750688	    363.2990246         4.01	        1990.752271	        119.3293689                             4.01	        337.0204433	        115.6696392                                                                                                                                                                   
4.012	    4336.817105	    388.820615          4.012	        2311.705655	        124.5607574                             4.012	        214.4153095	        127.2885705                                                                                                                                                   
4.014	    3938.122762	    386.0533606         4.014	        2301.969176	        127.2501295                             4.014	        407.1226188	        121.6203158                                                                                                                                                                   
4.016	    4446.136244	    391.0307912         4.016	        2474.637813	        130.9814879                             4.016	        285.0876196	        114.7508203                                                                                                                                                                   
4.018	    4703.902483	    385.4167606         4.018	        2591.040615	        128.9782839                             4.018	        299.0036236	        119.7721715                                                                                                                                                                   
4.02	    5599.015983	    403.0508007         4.02	        2518.153466	        131.3998378                             4.02	        349.9154919	        123.8051969                                                                                                                                                                   
4.025	    6312.223688	    426.2659498         4.025	        2843.145632	        141.8637703                             4.025	        316.6788156	        123.9536436                                                                                                                                                                           
4.03	    7514.922264	    277.2295222         4.03	        2929.533833	        90.73175158                             4.03	        367.7585564	        75.36638004                                                                                                                                                                   
4.035	    8574.316524	    445.8115663         4.035	        2838.370883	        138.9456789                             4.035	        422.1653582	        126.9461848                                                                                                                                                                   
4.04	    8649.029871	    443.8764884         4.04	        2352.26973	        134.3179636                             4.04	        263.1085633	        113.5516697                                                                                                                                                                   
4.05	    6685.198339	    428.2415833         4.05	        2506.55617	        137.0164124                             4.05	        0.018763413	        3.707848695                     remove                                                                                                                                                      
4.055	    7300.426332	    420.6157456         4.055	        2353.203358	        129.4338799                             4.055	        94.17918033	        84.52459344                                                                                                                                                                   
4.06	    7382.849579	    435.7196406         4.06	        2488.291088	        135.4069036                             4.06	        231.5003267	        118.187225                                                                                                                                                                   
4.065	    7125.168956	    414.9252734         4.065	        2265.6482	        128.4418936                             4.065	        83.83370797	        86.82219133                                                                                                                                                                   
4.07	    7257.487525	    411.1693527         4.07	        2249.494809	        125.9494226                             4.07	        2.61E-06	        0.052916843                     remove                                                                                                                                                       
4.08	    6696.355253	    387.2053314         4.08	        2337.103499	        123.8557154                             4.08	        110.6093602	        66.20287739                                                                                                                                                                   
4.08545	    6600.893546	    149.0617116         4.08545	        2167.894111	        46.18548251                             4.08545	        73.60397881	        30.52181044                                                                                                                                                                   
4.09	    6522.169635	    389.4726929         4.09	        2155.168187	        121.7237199                             4.09	        84.64563372	        80.10319636                                                                                                                                                                   
4.1	        5850.541455	    384.1917259         4.1	            2297.093053	        126.5385233                             4.1	            129.7809797	        88.65766151                                                                                                                                                                   
4.11	    7113.9208	    404.1799009         4.11	        2075.206312	        125.6163706                             4.11	        118.4144404	        105.3439832                                                                                                                                                                   
4.12	    6069.900555	    380.9630321         4.12	        1880.86577	        117.7893408                             4.12	        742.8382277	        132.2113515                                                                                                                                                                   
4.12848	    5918.015196	    52.18585864         4.12848	        1897.256291	        16.14415027                             4.12848	        584.4717995	        18.65680279                                                                                                                                                                   
4.13	    7019.257416	    404.2743541         4.13	        2086.487225	        124.2573037                             4.13	        527.9357172	        137.2065469                                                                                                                                                                   
4.14	    6712.844474	    400.8812974         4.14	        2082.910395	        124.3878884                             4.14	        548.0816248	        136.8222058                                                                                                                                                                   
4.145	    6579.65535	    381.3064916         4.145	        1980.111936	        117.6629989                             4.145	        882.576848	        154.6954246                                                                                                                                                                   
4.15	    6421.220562	    386.8802748         4.15	        1769.733946	        117.5741162                             4.15	        1055.903755	        173.9381042                                                                                                                                                                   
4.15744	    5958.569346	    51.88641846         4.15744	        1866.310727	        16.04233716                             4.15744	        917.9072642	        21.73907111                                                                                                                                                                   
4.16	    6068.909404	    369.4922011         4.16	        1924.311057	        116.7426991                             4.16	        769.9710136	        147.6893625                                                                                                                                                                   
4.17	    6457.310812	    250.4305999         4.17	        1908.415023	        77.55378088                             4.17	        1005.800396	        107.3459297                                                                                                                                                                   
4.18	    6200.642575	    391.6998049         4.18	        1874.751489	        122.0856607                             4.18	        753.6413069	        165.8087168                                                                                                                                                                   
4.18859	    5581.864154	    157.2883167         4.18859	        1714.835863	        48.71622895                             4.18859	        927.3518609	        68.63553416                                                                                                                                                                   
