                D0                                                    Dp                                                  Dsp                                                                                   add all D       
3.80765	    157.6086951	    132.3431791         3.80765	        175.2269519	        26.57862252                             3.80765	        0	                0                                              3.80765	    332.835647	        134.9857038                                                                                                         
3.85	    142.5439095	    343.4486487         3.85	        272.4324191	        67.44237892                             3.85	        0	                0                                              3.85	        414.9763286	        350.0077839                                                                                                             
3.89	    1318.416427	    315.7981434         3.89	        553.0435328	        77.64184271                             3.89	        0	                0                                              3.89	        1871.45996	        325.2025878                                                                                                             
3.895	    533.901203	    338.1664461         3.895	        767.3736511	        83.26469749                             3.895	        0	                0                                              3.895	    1301.274854	        348.2665001                                                                                                             
3.89624	    1347.015413	    128.580714          3.89624	        724.9912763	        32.42267496                             3.89624	        0	                0                                              3.89624	    2072.006689	        132.6055424                                                                                         
3.9	        1162.431926	    337.8093066         3.9	            696.1374176	        82.47306607                             3.9	            0	                0                                              3.9	        1858.569344	        347.7311235                                                                                                         
3.905	    1725.302331	    332.8729147         3.905	        839.2224165	        85.47310839                             3.905	        0	                0                                              3.905	    2564.524748	        343.6713977                                                                                                             
3.91	    1815.386747	    344.3415308         3.91	        897.5250032	        89.97043198                             3.91	        0	                0                                              3.91	        2712.91175	        355.9013465                                                                                                             
3.915	    1710.380546	    339.8939898         3.915	        950.2060398	        91.10604744                             3.915	        0	                0                                              3.915	    2660.586586	        351.8923645                                                                                                             
3.92	    2262.419015	    365.1824822         3.92	        1005.728672	        96.96072762                             3.92	        0	                0                                              3.92	        3268.147687	        377.835451                                                                                                             
3.925	    2350.118757	    371.2924968         3.925	        1098.141543	        100.8126808                             3.925	        0	                0                                              3.925	    3448.2603	        384.7353828                                                                                                             
3.93	    2253.203123	    368.6560362         3.93	        1026.984074	        97.34971341                             3.93	        0	                0                                              3.93	        3280.187197	        381.292853                                                                                                             
3.935	    2163.21079	    352.7397138         3.935	        1218.353144	        99.74664353                             3.935	        0	                0                                              3.935	    3381.563934	        366.5715463                                                                                                             
3.94	    2818.859293	    357.5319861         3.94	        1497.522664	        102.804422                              3.94	        27.85018196	        52.97449201                                    3.94	        4344.232139	        375.7714293                                                                                                                              
3.95	    3177.209512	    348.1441519         3.95	        1359.862416	        100.7500001                             3.95	        56.33314796	        64.33530307                                    3.95	        4593.405076	        368.0950207                                                                                                                               
3.97	    2755.019235	    356.4508802         3.97	        1475.732544	        107.4689774                             3.97	        151.0803824	        79.97566709                                    3.97	        4381.832161	        380.7924874                                                                                                                               
3.975	    2998.015695	    336.2589538         3.975	        1593.0642	        103.2774251                             3.975	        71.53205778	        54.64158349                                    3.975	    4662.611953	        355.9803551                                                                                                                               
3.98	    3922.821868	    351.7502333         3.98	        1683.813044	        103.8804015                             3.98	        236.4129495	        97.54161973                                    3.98	        5843.047862	        379.5177625                                                                                                                               
3.985	    3752.506506	    349.7210164         3.985	        1760.553488	        106.6231862                             3.985	        75.86320785	        83.96850062                                    3.985	    5588.923202	        375.1319798                                                                                                                               
3.995	    3591.735771	    349.0202605         3.995	        1864.903944	        106.9435896                             3.995	        94.92007551	        80.07579267                                    3.995	    5551.559791	        373.7167459                                                                                                                              
4	        3733.837024	    357.163875          4	            1919.858986	        112.0974832                             4	            197.306804	        90.14821809                                    4	        5851.002814	        385.0436087                                                                                                               
4.005	    3793.799756	    359.6815292         4.005	        1937.562892	        114.4319156                             4.005	        175.5848348	        94.20686941                                    4.005	    5906.947483	        389.0249349                                                                                                                               
4.00762	    3801.879047	    43.47017063         4.00762	        2012.403896	        14.33260491                             4.00762	        242.0945873	        12.7257863                                     4.00762	    6056.37753	        47.50815651                                                                                                                              
4.01	    4010.750688	    363.2990246         4.01	        1990.752271	        119.3293689                             4.01	        337.0204433	        115.6696392                                    4.01	        6338.523402	        399.5061263                                                                                                                               
4.012	    4336.817105	    388.820615          4.012	        2311.705655	        124.5607574                             4.012	        214.4153095	        127.2885705                                    4.012	    6862.93807	        427.667199                                                                                                               
