  3.80765	               429.705                            134.9857038   
  3.85	                 536.052                          350.0077839   
  3.89	                 2508.57                          325.2025878   
  3.895	                 1514.32                        348.2665001   
  3.89624	               2931.93                            132.6055424   
  3.9	                   2372.92                        347.7311235   
  3.905	                 3496.29                        343.6713977   
  3.91	                 3595.42                          355.9013465   
  3.915	                 3424.62                        351.8923645   
  3.92	                 4357.69                           377.835451    
  3.925	                 4512.52                      384.7353828   
  3.93	                 4146.42                           381.292853    
  3.935	                 4282.75                        366.5715463   
  3.94	                 5791.46                          375.7714293   
  3.95	                 5873.8                           368.0950207   
  3.97	                 5323.59                           380.7924874   
  3.975	                 5754.58                       355.9803551   
  3.98	                 7605.01                           379.5177625   
  3.985	                 6940.9                        375.1319798   
  3.995	                 6774.16                        373.7167459   
  4	                     7212.83                 385.0436087   
  4.005	                 7217.24                        389.0249349   
  4.00762	               7436.95                            47.50815651   
  4.01	                 7869.09                           399.5061263   
  4.012	                 8711.32                        427.667199    
  4.014	                 8194.33                       424.2891631   
  4.016	                 9148.96                       428.0525442   
  4.018	                 9685.56                        423.7060893   
  4.02	                 11074.1                           441.6373989   
  4.025	                 12309.7                        466.0391561   
  4.03	                 14160.7                           301.2781936   
  4.035	                 15420.4                        483.91031     
  4.04	                 14104.4                         477.4532794   
  4.055	                 11516.4                        448.1240248   
  4.06	                 12141.2                           471.3330615   
  4.065	                 11035.9                        442.9428806   
  4.08	                 10581.3                           411.8871543   
  4.08545	               10092.7                            159.009665    
  4.09	                 9997.16                          415.839109    
  4.1	                   9267                        414.0959564   
  4.11	                 10919                           436.1630654   
  4.12	                 9794.31                         420.1035612   
  4.12848	               9373.18                            57.72411732   
  4.13	                 11593.9                           444.6383558   
  4.14	                 10688                           441.4730766   
  4.145	                 10837                        427.9835233   
  4.15	                 10477                          440.1755149   
  4.15744	               9678.52                            58.49909585   
  4.16	                 9754.53                           414.6872222   
  4.17	                 10710                           283.2899979   
  4.18	                 9761.89                           442.522515    
  4.18859	               8859.56                            178.392046    
  4.1888	               8210.19                           49.70343532   
  4.19 	                 8728.04                       429.6827861   
  4.195	                 10242.8                        436.5874982   
  4.1989	               7697.95                           49.36506572   
  4.2	                   8590.24                        419.0869524   
  4.203	                 8857.36                        446.3125509   
  4.206	                 8774.66                        421.0262946   
  4.20773	               7774.11                            153.753224    
  4.2092	               6482.46                         48.49204617   
  4.21	                 6582.92                          400.6753753   
  4.215	                 7323.64                       395.1944055   
  4.21713	               6318.39                           149.4723884   
  4.2187	               5456                          46.85355792   
  4.22	                 5414.59                         380.6502794   
  4.225	                 4274                       360.9267687   
  4.22626	               4740.48                           31.13307187   
  4.23	                 3979.58                          356.4883432   
  4.235	                 3818.25                       351.851361    
  4.2357	               3872.66                          43.42414986   
  4.24	                 4434.75                         378.2421623   
  4.24166	               3405.65                           134.7224237   
  4.243	                 4953.99                      346.3261223   
  4.2438	               3423.48                          42.53664896   
  4.245	                 2664.38                       335.8150716   
  4.248	                 3911.69                      341.4092806   
  4.25	                 4458.73                          354.1661538   
  4.255	                 2948.81                       335.644699    
  4.25797	               3605.81                          34.34137946   
  4.26	                 3595.36                        335.2678006   
  4.265	                 2960.9                       332.0255845   
  4.2668	               3773.06                         42.3272479    
  4.27	                 3055.84                          332.3006012   
  4.275	                 2678.58                      330.3326118   
  4.2777	               3811.73                          73.51044681   
  4.28	                 3559.63                       335.8196328   
  4.285	                 3977.93                     334.3317819   
  4.28788	               3633.87                           43.74008619   
  4.29	                 4291.02                          334.1131587   
  4.3	                   3865.96                       339.93408     
  4.30789	               4556.8                            149.7640376   
  4.31	                 5420.85                           348.064811    
  4.31205	               3955.41                           44.14390358   
  4.32	                 4443.16                           324.6341138   
  4.33	                 4688.69                           338.6286902   
  4.33739	               5327.38                           45.29568757   
  4.34	                 4616.12                          338.0318955   
  4.35	                 5693.15                           353.1278426   
  4.35826	               6479.53                           44.69767322   
  4.36	                 6024.21                           363.4149123   
  4.37	                 7802.92                          371.4411879   
  4.37737	               7133.23                            46.74861805   
  4.38	                 7106.96                           377.408744    
  4.3874	               8273.88                          146.2837814   
  4.39	                 8221.03                           406.4599856   
  4.395	                 7159.37                        391.0408956   
  4.39645	               8062.81                            48.39134257   
  4.4	                   7720.42                        408.8079093   
  4.41	                 9908.31                           457.3489762   
  4.41558	               8299.98                            32.61986219   
  4.42	                 8815.3                          411.8070642   
  4.425	                 8471.72                        410.7192838   
  4.43	                 8322.21                           434.4329354   
  4.43624	               8420.78                            46.32859444   
  4.44	                 7423.27                          394.2871559   
  4.45	                 8140.07                          407.3580134   
  4.46	                 6785.77                           361.037242    
  4.46706	               5945.76                            98.95176909   
  4.48	                 6586.32                           369.8814      
  4.5	                   6074.87                        369.2635116   
  4.52	                 4921.03                          335.4968184   
  4.52714	               5773.01                           96.1120039    
  4.54	                 5728.49                          338.7527311   
  4.55	                 4599.61                         334.9945      
  4.56	                 4708.38                          353.4486767   
  4.57	                 5497.62                          348.7143321   
