3.80765	         406.77716                    134.9857038   
3.85	           490.5590116                    350.0077839   
3.89	           2390.621411                    325.2025878   
3.895	           1443.345236                  348.2665001   
3.89624	         2806.218997                      132.6055424   
3.9	             2254.365578                  347.7311235   
3.905	           3344.394704                  343.6713977   
3.91	           3421.223849                    355.9013465   
3.915	           3257.945802                  351.8923645   
3.92	           4164.579017                     377.835451    
3.925	           4297.084805                384.7353828   
3.93	           3954.477333                     381.292853    
3.935	           4084.473012                  366.5715463   
3.94	           5524.540525                    375.7714293   
3.95	           5603.154584                     368.0950207   
3.97	           5088.065525                     380.7924874   
3.975	           5503.745272                 355.9803551   
3.98	           7260.338958                     379.5177625   
3.985	           6630.455579                  375.1319798   
3.995	           6475.045848                  373.7167459   
4	               6903.676762           385.0436087   
4.005	           6910.534155                  389.0249349   
4.00762	         7123.640871                      47.50815651   
4.01	           7536.418971                     399.5061263   
4.012	           8349.017951                  427.667199    
4.014	           7852.995883                 424.2891631   
4.016	           8770.785196                 428.0525442   
4.018	           9284.465015                  423.7060893   
4.02	           10613.97189                     441.6373989   
4.025	           11773.15207                  466.0391561   
4.03	           13529.68554                     301.2781936   
4.035	           14710.37187                  483.91031     
4.04	           13452.20584                   477.4532794   
4.055	           10968.25072                  448.1240248   
4.06	           11555.76287                    471.3330615   
4.065	           10499.46311                  442.9428806   
4.08	           10061.98085                    411.8871543   
4.08545	         9601.53273                      159.009665    
4.09	           9510.753883                    415.839109    
4.1	             8808.669625                  414.0959564   
4.11	           10387.01616                     436.1630654   
4.12	           9310.268064                   420.1035612   
4.12848	         8906.395414                      57.72411732   
4.13	           11019.89846                     444.6383558   
4.14	           10155.2272                     441.4730766   
4.145	           10301.8795                  427.9835233   
4.15	           9957.068648                    440.1755149   
4.15744	         9187.759398                      58.49909585   
4.16	           9259.44911                     414.6872222   
4.17	           10167.5941                     283.2899979   
4.18	           9257.843043                     442.522515    
4.18859	         8390.139542                      178.392046    
4.1888	         7765.08386                     49.70343532   
4.19 	           8267.649573                 429.6827861   
4.195	           9701.824808                  436.5874982   
4.1989	         7277.641782                     49.36506572   
4.2	             8133.423849                  419.0869524   
4.203	           8381.946596                  446.3125509   
4.206	           8304.107288                  421.0262946   
4.20773	         7349.70159                      153.753224    
4.2092	         6120.079084                  48.49204617   
4.21	           6221.293411                    400.6753753   
4.215	           6936.474723                 395.1944055   
4.21713	         5975.395304                     149.4723884   
4.2187	         5149.402257                    46.85355792   
4.22	           5118.163297                   380.6502794   
4.225	           4029.742361                 360.9267687   
4.22626	         4485.577465                     31.13307187   
4.23	           3752.064932                    356.4883432   
4.235	           3608.874441                 351.851361    
4.2357	         3662.782357                    43.42414986   
4.24	           4204.410479                  378.2421623   
4.24166	         3207.86996                     134.7224237   
4.243	           4709.425267               346.3261223   
4.2438	         3220.143081                    42.53664896   
4.245	           2491.211415                335.8150716   
4.248	           3712.791529                341.4092806   
4.25	           4235.193652                    354.1661538   
4.255	           2780.579671                 335.644699    
4.25797	         3425.045128                   34.34137946   
4.26	           3412.375527                  335.2678006   
4.265	           2801.480409                 332.0255845   
4.2668	         3588.489795                   42.3272479    
4.27	           2891.527908                    332.3006012   
4.275	           2534.406158               330.3326118   
4.2777	         3631.567754                    73.51044681   
4.28	           3382.17916                 335.8196328   
4.285	           3782.49616               334.3317819   
4.28788	         3452.976952                     43.74008619   
4.29	           4085.759529                    334.1131587   
4.3	             3674.480677                 339.93408     
4.30789	         4336.635849                      149.7640376   
4.31	           5161.418465                     348.064811    
4.31205	         3749.766199                    44.14390358   
4.32	           4228.990687                     324.6341138   
4.33	           4465.01415                     338.6286902   
4.33739	         5072.795772                     45.29568757   
4.34	           4390.924504                    338.0318955   
4.35	           5421.773716                     353.1278426   
4.35826	         6167.0671                     44.69767322   
4.36	           5731.628289                     363.4149123   
4.37	           7423.354465                    371.4411879   
4.37737	         6784.291361                      46.74861805   
4.38	           6759.991515                     377.408744    
4.3874	         7871.732055                    146.2837814   
4.39	           7821.291904                    406.4599856   
4.395	           6808.422537                 391.0408956   
4.39645	         7674.101098                      48.39134257   
4.4	             7341.775655                  408.8079093   
4.41	           9417.547566                    457.3489762   
4.41558	         7883.724771                      32.61986219   
4.42	           8377.048348                    411.8070642   
4.425	           8047.162149                 410.7192838   
4.43	           7903.63665                    434.4329354   
4.43624	         7991.690259                      46.32859444   
4.44	           7038.7999                    394.2871559   
4.45	           7721.730206                    407.3580134   
4.46	           6431.174909                     361.037242    
4.46706	         5633.529313                      98.95176909   
4.48	           6244.984991                     369.8814      
4.5	             5759.022334                  369.2635116   
4.52	           4662.5178                    335.4968184   
4.52714	         5479.746996                     96.1120039    
4.54	           5434.616369                    338.7527311   
4.55	           4358.367636                   334.9945      
4.56	           4466.257904                    353.4486767   
4.57	           5217.87335                   348.7143321   
4.5745	         5041.935012                    142.7572638   
4.58	           4955.890683                     347.9414929   
4.59	           4450.259839                    347.5567529   
4.59953	         4957.670147                      40.95419037   
4.61186	         4699.791967                     96.86904877   
4.628	           4751.124547                  42.94885288   
4.64091	         4606.382248                     41.65420651   
4.66124	         5058.818024                      42.92560531   
4.68192	         5295.184213                     23.89781445   
4.69882	         5467.196876                      43.27294698   
4.7397	         4947.79881                     77.25282045   
4.75005	         5017.375447                      51.77483736   
4.78054	         4885.832573                      43.55463067   
4.84307	         4394.384809                    42.30129502   
4.91802	         4398.370102                      66.72157729   
4.95093	         4392.226791                      76.8957579   
