3.80765	         0.000232718          0
3.85	         -0.003544432          0
3.89	         0.003149205          0
3.895	         0.507752655          0
3.89624	         0.366243396          0
3.9	             -0.217411459          0
3.905	         0.312903106          0
3.91	         0.004171974          0
3.915	         -0.018980208          0
3.92	         0.228561463          0
3.925	         0.035678512          0
3.93	         -0.157002909          0
3.935	         0.000233495          0
3.94	         -0.063443415          0
3.95	         0.007601553          0
3.97	         0.009298237          0
3.975	         0.130932231          0
3.98	         -0.047560753          0
3.985	         -0.084206659          0
3.995	         0.00806004          0
4	             0.074783407          0
4.005	         -0.019785957          0
4.00762	         -0.025682571          0
4.01	         -0.052318629          0
4.012	         -0.039064114          0
4.014	         -0.018317544          0
4.016	         -0.014908798          0
4.018	         -0.00204428          0
4.02	         -0.044536351          0
4.025	         0.00959406          0
4.03	         -0.003537961          0
4.035	         -0.001744442          0
4.04	         0.047509997          0
4.055	         0.028656525          0
4.06	         0.006572662          0
4.065	         0.071020941          0
4.08	         -0.051052328          0
4.08545	         0.029511429          0
4.09	         0.017110859          0
4.1	             -0.007456566          0
4.11	         -0.009222456          0
4.12	         0.003981904          0
4.12848	         -0.030555265          0
4.13	         -0.023288108          0
4.14	         -0.037312874          0
4.145	         -0.000645935          0
4.15	         0.009926506          0
4.15744	         -0.028206792          0
4.16	         -0.022410101          0
4.17	         0.028478058          0
4.18	         -0.021870765          0
4.18859	         0.012867456          0
4.1888	         0.098048888          0
4.19 	         0.049381075          0
4.195	         -0.018744874          0
4.1989	         0.045986269          0
4.2	             0.062745628          0
4.203	         -0.035224943          0
4.206	         0.042964628          0
4.20773	         0.001286321          0
4.2092	         0.08268466          0
4.21	         0.138069428          0
4.215	         -0.01915714          0
4.21713	         0.061582144          0
4.2187	         0.114644428          0
4.22	         0.526725015          0
4.225	         -0.115980346          0
4.22626	         0.065098893          0
4.23	         0.156649697          0
4.235	         0.393269168          0
4.2357	         -0.107032376          0
4.24	         0.114843001          0
4.24166	         0.03103666          0
4.243	         -0.016047671          0
4.2438	         0.277028053          0
4.245	         1.800681584          0
4.248	         -0.1431095          0
4.25	         0.188080462          0
4.255	         0.312736324          0
4.25797	         -0.124881788          0
4.26	         0.003393262          0
4.265	         -0.042250667          0
4.2668	         0.108559101          0
4.27	         0.452117912          0
4.275	         -0.149258189          0
4.2777	         -0.004145099          0
4.28	         -0.008455935          0
4.285	         -0.021292481          0
4.28788	         -0.04947893          0
4.29	         -0.002586798          0
4.3	             0.008820578          0
4.30789	         -0.008668364          0
4.31	         -0.000147578          0
4.31205	         -0.099003643          0
4.32	         -0.011500824          0
4.33	         0.048819606          0
4.33739	         0.004448716          0
4.34	         -0.022854692          0
4.35	         0.001580847          0
4.35826	         -0.01381273          0
4.36	         0.163457117          0
4.37	         -0.030975583          0
4.37737	         -0.020747964          0
4.38	         0.031645035          0
4.3874	         -0.006333183          0
4.39	         0.009414879          0
4.395	         0.021635982          0
4.39645	         -0.005754817          0
4.4	             -0.026319812          0
4.41	         -0.005449971          0
4.41558	         -0.008975925          0
4.42	         -0.006806348          0
4.425	         0.115797028          0
4.43	         -0.032803786          0
4.43624	         -0.037063075          0
4.44	         -0.000390663          0
4.45	         -0.017591986          0
4.46	         0.005246273          0
4.46706	         -0.010814429          0
4.48	         0.019677149          0
4.5	             0.016000342          0
4.52	         -0.015301675          0
4.52714	         -0.013285963          0
4.54	         0.013040086          0
4.55	         0.091486017          0
4.56	         0.001890247          0
4.57	         -0.002200952          0
4.5745	         -0.019789129          0
4.58	         -0.004057183          0
4.59	         -0.020234637          0
4.59953	         -0.028761862          0
4.61186	         0.000988661          0
4.628	         -0.029905512          0
4.64091	         -0.002717856          0
4.66124	         -0.021472145          0
4.68192	         -0.005893047          0
4.69882	         -0.003763467          0
4.7397	         -0.002299018          0
4.75005	         -0.004629096          0
4.78054	         -0.015029778          0
4.84307	         -0.012932707          0
4.91802	         0.00497355          0
4.95093	         -0.00075441          0
