3.80765	                 429.705                        134.9857038   
3.85	                   516.132                      350.0077839   
3.89	                   2508.55                      325.2025878   
3.895	                   1513.99                    348.2665001   
3.89624	                 2943.26                        132.6055424   
3.9	                     2363.69                    347.7311235   
3.905	                   3506.14                    343.6713977   
3.91	                   3585.57                      355.9013465   
3.915	                   3414.49                    351.8923645   
3.92	                   4366.51                       377.835451    
3.925	                   4505.33                  384.7353828   
3.93	                   4146.11                       381.292853    
3.935	                   4282.99                    366.5715463   
3.94	                   5791.91                      375.7714293   
3.95	                   5873.59                       368.0950207   
3.97	                   5323.55                       380.7924874   
3.975	                   5760.24                   355.9803551   
3.98	                   7599.56                       379.5177625   
3.985	                   6940.12                    375.1319798   
3.995	                   6774.55                    373.7167459   
4	                       7217.34             385.0436087   
4.005	                   7217.63                    389.0249349   
4.00762	                 7437.61                        47.50815651   
4.01	                   7865.33                       399.5061263   
4.012	                   8712.21                    427.667199    
4.014	                   8193.58                   424.2891631   
4.016	                   9150.04                   428.0525442   
4.018	                   9686.06                    423.7060893   
4.02	                   11074.7                       441.6373989   
4.025	                   12304.7                    466.0391561   
4.03	                   14161.1                     301.2781936   
4.035	                   15419.8                    483.91031     
4.04	                   14107.6                     477.4532794   
4.055	                   11516.7                    448.1240248   
4.06	                   12141.2                       471.3330615   
4.065	                   11038                    442.9428806   
4.08	                   10578.1                       411.8871543   
4.08545	                 10095.3                        159.009665    
4.09	                   10000.9                      415.839109    
4.1	                     9263.48                    414.0959564   
4.11	                   10921.8                       436.1630654   
4.12	                   9790.2                     420.1035612   
4.12848	                 9373.52                        57.72411732   
4.13	                   11598.7                       444.6383558   
4.14	                   10685.3                       441.4730766   
4.145	                   10836.6                    427.9835233   
4.15	                   10476                    440.1755149   
4.15744	                 9677.09                        58.49909585   
4.16	                   9754.47                       414.6872222   
4.17	                   10713.6                       283.2899979   
4.18	                   9760.75                       442.522515    
4.18859	                 8857.99                        178.392046    
4.1888	                 8198.08                       49.70343532   
4.19 	                   8729.74                   429.6827861   
4.195	                   10246.5                    436.5874982   
4.1989	                 7688.24                       49.36506572   
4.2	                     8593.31                    419.0869524   
4.203	                   8859.22                   446.3125509   
4.206	                   8776.23                    421.0262946   
4.20773	                 7767.35                        153.753224    
4.2092	                 6467.5                    48.49204617   
4.21	                   6574.46                      400.6753753   
4.215	                   7326.14                   395.1944055   
4.21713	                 6311.47                       149.4723884   
4.2187	                 5439.31                      46.85355792   
4.22	                   5406.6                     380.6502794   
4.225	                   4257.07                   360.9267687   
4.22626	                 4738.57                       31.13307187   
4.23	                   3962.51                      356.4883432   
4.235	                   3809.18                   351.851361    
4.2357	                 3866.08                     43.42414986   
4.24	                   4437.16                     378.2421623   
4.24166	                 3385.78                       134.7224237   
4.243	                   4970.87                  346.3261223   
4.2438	                 3398.91                      42.53664896   
4.245	                   2629.53                   335.8150716   
4.248	                   3917.62                 341.4092806   
4.25	                   4467.32                      354.1661538   
4.255	                   2930.95                  335.644699    
4.25797	                 3608.52                      34.34137946   
4.26	                   3594.78                    335.2678006   
4.265	                   2950.68                   332.0255845   
4.2668	                 3779.43                     42.3272479    
4.27	                   3045.18                      332.3006012   
4.275	                   2668.88                  330.3326118   
4.2777	                 3824.13                     73.51044681   
4.28	                   3561.35                   335.8196328   
4.285	                   3982.23                 334.3317819   
4.28788	                 3634.79                       43.74008619   
4.29	                   4300.68                      334.1131587   
4.3	                     3866.36                   339.93408     
4.30789	                 4563.27                        149.7640376   
4.31	                   5431.14                       348.064811    
4.31205	                 3945.61                       44.14390358   
4.32	                   4447.68                       324.6341138   
4.33	                   4692.97                       338.6286902   
4.33739	                 5330.71                       45.29568757   
4.34	                   4613.98                     338.0318955   
4.35	                   5697.85                       353.1278426   
4.35826	                 6482.04                       44.69767322   
4.36	                   6024.54                       363.4149123   
4.37	                   7803.71                      371.4411879   
4.37737	                 7132.5                        46.74861805   
4.38	                   7107.15                      377.408744    
4.3874	                 8275.89                     146.2837814   
4.39	                   8222.49                       406.4599856   
4.395	                   7155.11                   391.0408956   
4.39645	                 8065.49                        48.39134257   
4.4	                     7719.47                    408.8079093   
4.41	                   9910.53                       457.3489762   
4.41558	                 8297.04                        32.61986219   
4.42	                   8816.45                      411.8070642   
4.425	                   8469.01                    410.7192838   
4.43	                   8321.83                      434.4329354   
4.43624	                 8421.1                        46.32859444   
4.44	                   7420.38                      394.2871559   
4.45	                   8142.15                      407.3580134   
4.46	                   6782.63                       361.037242    
4.46706	                 5941.97                        98.95176909   
4.48	                   6587.42                       369.8814      
4.5	                     6074.35                    369.2635116   
4.52	                   4916.97                      335.4968184   
4.52714	                 5778.36                       96.1120039    
4.54	                   5729.9                      338.7527311   
4.55	                   4594.74                     334.9945      
4.56	                   4708.89                      353.4486767   
4.57	                   5502.02                      348.7143321   
4.5745	                 5316.7                       142.7572638   
4.58	                   5226.13                      347.9414929   
4.59	                   4693.19                      347.5567529   
4.59953	                 5228.58                        40.95419037   
4.61186	                 4956.18                       96.86904877   
4.628	                   5009.82                    42.94885288   
4.64091	                 4857.07                       41.65420651   
4.66124	                 5334.05                        42.92560531   
4.68192	                 5583.63                       23.89781445   
4.69882	                 5765.31                        43.27294698   
4.7397	                 5219.06                       77.25282045   
4.75005	                 5292.87                        51.77483736   
4.78054	                 5155.35                        43.55463067   
4.84307	                 4639.07                       42.30129502   
4.91802	                 4645.67                        66.72157729   
4.95093	                 4639.73                        76.8957579   
