          path                                                              c0                 c1              fsig                 mean1             mean2              nbkg              nsig            sigma1            sigma2    
        mass_fit_mc_mode401_momentum_costheta_030.cpp.sh.out        1.1308e-01        -1.2613e-01        4.9236e-01        1.9683e+00        1.9686e+00        2.8718e+01        7.3822e+02        2.9861e-03        6.1450e-03
        mass_fit_mc_mode401_momentum_costheta_031.cpp.sh.out        -1.1383e-01        9.9680e-01        8.2734e-01        1.9687e+00        1.9679e+00        5.4931e+00        7.1255e+02        3.7843e-03        1.1767e-02
        mass_fit_mc_mode401_momentum_costheta_032.cpp.sh.out        7.9638e-01        9.0993e-01        6.6885e-01        1.9683e+00        1.9697e+00        1.3464e+01        6.9955e+02        3.3488e-03        8.3227e-03
        mass_fit_mc_mode401_momentum_costheta_033.cpp.sh.out        5.5012e-02        -9.8548e-01        1.8023e-02        1.9548e+00        1.9686e+00        5.5954e+01        6.3203e+02        2.8192e-03        4.0497e-03
        mass_fit_mc_mode401_momentum_costheta_034.cpp.sh.out        1.2277e+00        -2.5000e+00        8.8845e-01        1.9691e+00        1.9658e+00        5.6279e+01        5.9376e+02        3.8808e-03        7.1641e-03
        mass_fit_mc_mode401_momentum_costheta_035.cpp.sh.out        1.1281e-01        -1.2329e+00        3.1939e-02        1.9661e+00        1.9687e+00        5.4388e+01        5.4661e+02        1.0533e-03        4.4781e-03
        mass_fit_mc_mode401_momentum_costheta_036.cpp.sh.out        -3.0050e-01        -2.0000e+00        7.1817e-01        1.9686e+00        1.9706e+00        4.8267e+01        5.4576e+02        3.6240e-03        7.2022e-03
        mass_fit_mc_mode401_momentum_costheta_037.cpp.sh.out        1.0957e+00        7.9763e-01        7.6646e-01        1.9690e+00        1.9679e+00        3.2935e+00        5.6071e+02        3.7629e-03        1.0695e-02
        mass_fit_mc_mode401_momentum_costheta_038.cpp.sh.out        -3.5518e-01        -7.9226e-01        7.6152e-01        1.9692e+00        1.9662e+00        5.4815e+01        5.1019e+02        3.3898e-03        5.7641e-03
        mass_fit_mc_mode401_momentum_costheta_039.cpp.sh.out        2.4301e-01        -2.0974e+00        2.1870e-01        1.9733e+00        1.9679e+00        4.9703e+01        4.5330e+02        2.4553e-03        3.6985e-03
        mass_fit_mc_mode401_momentum_costheta_040.cpp.sh.out        8.9867e-02        -5.0526e-01        8.1951e-02        1.9687e+00        1.9692e+00        4.2154e+01        4.5181e+02        1.3734e-03        4.8582e-03
        mass_fit_mc_mode401_momentum_costheta_041.cpp.sh.out        2.7456e-01        -1.0176e+00        4.9833e-02        1.9703e+00        1.9685e+00        4.4399e+01        4.1563e+02        8.2417e-04        5.1138e-03
        mass_fit_mc_mode401_momentum_costheta_042.cpp.sh.out        -8.7138e-01        -2.5000e+00        5.9658e-02        1.9659e+00        1.9696e+00        7.9558e+01        3.7842e+02        8.7741e-04        4.1837e-03
        mass_fit_mc_mode401_momentum_costheta_043.cpp.sh.out        1.9181e-01        -1.5632e+00        6.3615e-01        1.9701e+00        1.9651e+00        3.8432e+01        3.6758e+02        3.2715e-03        5.5767e-03
        mass_fit_mc_mode401_momentum_costheta_044.cpp.sh.out        -3.1925e-01        -3.5000e+00        5.0747e-02        1.9735e+00        1.9685e+00        7.0702e+01        3.2530e+02        3.3912e-04        4.4865e-03
        mass_fit_mc_mode401_momentum_costheta_045.cpp.sh.out        -3.4947e-01        -1.2827e-01        7.8105e-01        1.9684e+00        1.9702e+00        3.0809e+01        3.3920e+02        4.6044e-03        8.9207e-03
        mass_fit_mc_mode401_momentum_costheta_046.cpp.sh.out        3.4274e-01        -3.0154e-01        3.3611e-01        1.9701e+00        1.9684e+00        3.6691e+01        3.0632e+02        2.9408e-03        6.3492e-03
        mass_fit_mc_mode401_momentum_costheta_047.cpp.sh.out        -2.1905e-01        2.3212e-01        4.7078e-01        1.9674e+00        1.9688e+00        1.0928e+01        3.5305e+02        8.3878e-03        4.3449e-03
        mass_fit_mc_mode401_momentum_costheta_048.cpp.sh.out        2.8178e-01        -5.9768e-01        3.0520e-02        1.9705e+00        1.9691e+00        4.7444e+01        2.7456e+02        1.2022e-03        5.8407e-03
        mass_fit_mc_mode401_momentum_costheta_049.cpp.sh.out        4.2265e-01        -1.8071e+00        2.8360e-02        1.9740e+00        1.9691e+00        8.2814e+01        2.6519e+02        7.4550e-04        4.6473e-03
        mass_fit_mc_mode401_momentum_costheta_050.cpp.sh.out        -1.9785e-01        -5.0435e-01        3.1023e-02        1.9689e+00        1.9691e+00        4.5195e+01        2.9980e+02        1.0433e-03        5.4054e-03
        mass_fit_mc_mode401_momentum_costheta_051.cpp.sh.out        4.0914e-01        -3.4070e-01        6.1827e-01        1.9686e+00        1.9688e+00        3.4667e+01        8.0032e+02        2.9708e-03        5.9891e-03
        mass_fit_mc_mode401_momentum_costheta_052.cpp.sh.out        4.3157e-01        -1.3037e+00        7.1205e-01        1.9683e+00        1.9690e+00        5.9763e+01        7.4217e+02        3.0013e-03        6.1717e-03
        mass_fit_mc_mode401_momentum_costheta_053.cpp.sh.out        -2.8139e-01        6.5197e-01        7.8248e-01        1.9686e+00        1.9672e+00        1.5431e+01        7.7857e+02        3.5544e-03        8.9792e-03
        mass_fit_mc_mode401_momentum_costheta_054.cpp.sh.out        -4.0466e-01        -1.0612e+00        4.7674e-02        1.9688e+00        1.9683e+00        7.6775e+01        6.8027e+02        9.7258e-04        4.0663e-03
        mass_fit_mc_mode401_momentum_costheta_055.cpp.sh.out        -2.5935e-01        -4.8891e-01        6.1194e-01        1.9684e+00        1.9684e+00        2.5832e+01        7.3717e+02        2.9553e-03        6.7118e-03
        mass_fit_mc_mode401_momentum_costheta_056.cpp.sh.out        -2.3536e-01        -2.0000e+00        8.2687e-01        1.9693e+00        1.9676e+00        5.6644e+01        6.5341e+02        3.8137e-03        6.5617e-03
        mass_fit_mc_mode401_momentum_costheta_057.cpp.sh.out        5.4363e-01        -2.0000e+00        8.1744e-02        1.9685e+00        1.9685e+00        6.2119e+01        6.2888e+02        5.1504e-04        4.2889e-03
        mass_fit_mc_mode401_momentum_costheta_058.cpp.sh.out        -2.0540e-01        7.8322e-01        3.8643e-01        1.9685e+00        1.9684e+00        2.6132e+01        6.6389e+02        3.1073e-03        5.1676e-03
        mass_fit_mc_mode401_momentum_costheta_059.cpp.sh.out        -3.6265e-01        -3.8297e-01        4.3145e-01        1.9689e+00        1.9682e+00        4.4456e+01        6.2756e+02        2.6104e-03        6.0066e-03
        mass_fit_mc_mode401_momentum_costheta_060.cpp.sh.out        -7.9829e-01        6.8970e-01        7.9174e-01        1.9687e+00        1.9702e+00        1.3130e+01        6.3184e+02        3.8368e-03        9.8559e-03
        mass_fit_mc_mode401_momentum_costheta_061.cpp.sh.out        7.1180e-01        -2.0000e+00        2.1881e-01        1.9689e+00        1.9685e+00        4.7762e+01        5.7624e+02        7.3444e-03        3.6278e-03
        mass_fit_mc_mode401_momentum_costheta_062.cpp.sh.out        1.5653e-01        -2.2139e-01        4.2350e-01        1.9688e+00        1.9685e+00        3.1819e+01        5.5012e+02        3.3171e-03        5.4287e-03
