          path                                                              c0                 c1              fsig                 mean1             mean2              nbkg              nsig            sigma1            sigma2    
        mass_fit_test_D0_MC_mode0_momentum_costheta_001.cpp.sh.out        9.1770e-03        -3.2640e-01        8.7804e-01        1.8655e+00        1.8639e+00        8.3604e+01        2.6854e+03        5.3711e-03        1.3516e-02
        mass_fit_test_D0_MC_mode0_momentum_costheta_002.cpp.sh.out        4.0652e-02        -1.0000e+00        3.0000e-01        1.8656e+00        1.8654e+00        1.1171e+02        2.6112e+03        8.5344e-03        4.7782e-03
        mass_fit_test_D0_MC_mode0_momentum_costheta_003.cpp.sh.out        2.9154e-01        -5.6712e-02        8.6876e-01        1.8658e+00        1.8646e+00        7.8705e+01        2.6041e+03        5.4734e-03        1.2616e-02
        mass_fit_test_D0_MC_mode0_momentum_costheta_004.cpp.sh.out        -4.0266e-02        -5.8814e-01        8.3860e-01        1.8657e+00        1.8647e+00        9.7842e+01        2.4312e+03        5.3644e-03        1.0761e-02
        mass_fit_test_D0_MC_mode0_momentum_costheta_005.cpp.sh.out        2.4847e-01        -9.9999e-01        1.6225e-01        1.8659e+00        1.8653e+00        8.2886e+01        2.3013e+03        1.0861e-02        5.5672e-03
        mass_fit_test_D0_MC_mode0_momentum_costheta_006.cpp.sh.out        -3.3074e-01        -1.0000e+00        8.4863e-01        1.8653e+00        1.8648e+00        5.9946e+01        2.1811e+03        5.4422e-03        1.3318e-02
        mass_fit_test_D0_MC_mode0_momentum_costheta_007.cpp.sh.out        -1.1076e-01        -1.3847e-01        8.0760e-01        1.8655e+00        1.8666e+00        6.3730e+01        2.0613e+03        5.3890e-03        1.2453e-02
        mass_fit_test_D0_MC_mode0_momentum_costheta_008.cpp.sh.out        -2.1324e-01        -8.9850e-01        3.2081e-01        1.8642e+00        1.8662e+00        9.9915e+01        1.9071e+03        8.8602e-03        5.4207e-03
        mass_fit_test_D0_MC_mode0_momentum_costheta_009.cpp.sh.out        2.6170e-01        -5.1963e-01        1.6255e-01        1.8652e+00        1.8656e+00        7.5741e+01        1.8363e+03        1.2957e-02        5.7321e-03
        mass_fit_test_D0_MC_mode0_momentum_costheta_010.cpp.sh.out        3.2896e-02        -8.9963e-02        3.5567e-01        1.8652e+00        1.8659e+00        6.0554e+01        1.7774e+03        9.8647e-03        5.1152e-03
        mass_fit_test_D0_MC_mode0_momentum_costheta_011.cpp.sh.out        1.9619e-01        -2.8816e-01        1.1808e-01        1.8644e+00        1.8657e+00        7.2370e+01        1.7097e+03        1.5000e-02        5.9912e-03
        mass_fit_test_D0_MC_mode0_momentum_costheta_012.cpp.sh.out        4.9816e-01        -2.2899e-01        8.1449e-01        1.8656e+00        1.8666e+00        6.5755e+01        1.7372e+03        5.8885e-03        1.4186e-02
        mass_fit_test_D0_MC_mode0_momentum_costheta_013.cpp.sh.out        1.5388e-01        -1.7683e-01        7.3706e-01        1.8654e+00        1.8649e+00        6.3937e+01        1.7021e+03        5.4496e-03        1.1911e-02
        mass_fit_test_D0_MC_mode0_momentum_costheta_014.cpp.sh.out        4.2235e-01        -8.1515e-01        2.0205e-01        1.8661e+00        1.8656e+00        1.1250e+02        1.6354e+03        1.2720e-02        5.9636e-03
        mass_fit_test_D0_MC_mode0_momentum_costheta_015.cpp.sh.out        5.3133e-01        -2.7060e-01        1.8009e-01        1.8656e+00        1.8656e+00        7.0858e+01        1.6692e+03        1.5000e-02        6.4864e-03
        mass_fit_test_D0_MC_mode0_momentum_costheta_016.cpp.sh.out        4.5827e-01        -1.1773e+00        2.0456e-01        1.8686e+00        1.8654e+00        1.0161e+02        1.6124e+03        1.5000e-02        6.4778e-03
