          path                                                              c0                 c1              fsig                 mean1             mean2              nbkg              nsig            sigma1            sigma2    
        mass_fit_Dp_mc_mode200_momentum_costheta_001.cpp.sh.out        3.5726e-02        -7.9151e-01        2.2744e-01        1.8691e+00        1.8699e+00        1.8485e+02        2.5671e+03        8.8540e-03        3.7810e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_002.cpp.sh.out        1.1222e-01        -7.1798e-01        1.9094e-01        1.8696e+00        1.8700e+00        1.9669e+02        2.5553e+03        8.5493e-03        3.9781e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_003.cpp.sh.out        5.5731e-02        -4.5942e-01        1.0182e-01        1.8715e+00        1.8700e+00        1.6030e+02        2.5267e+03        1.4906e-02        4.2362e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_004.cpp.sh.out        -1.0864e-03        -6.1796e-01        1.7364e-01        1.8679e+00        1.8702e+00        1.9599e+02        2.4839e+03        1.0426e-02        3.9863e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_005.cpp.sh.out        9.4039e-02        -6.5592e-01        1.5408e-01        1.8681e+00        1.8702e+00        1.4258e+02        2.4674e+03        1.1642e-02        4.0664e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_006.cpp.sh.out        -1.5888e-02        -7.5607e-01        3.5428e-01        1.8694e+00        1.8701e+00        1.8976e+02        2.2742e+03        7.8508e-03        3.6446e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_007.cpp.sh.out        1.7045e-01        -4.3614e-01        1.1362e-01        1.8714e+00        1.8701e+00        1.5124e+02        2.2928e+03        1.4027e-02        4.4655e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_008.cpp.sh.out        2.9540e-01        -1.2606e+00        1.0466e-01        1.8711e+00        1.8699e+00        1.3069e+02        2.1284e+03        1.4929e-02        4.5291e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_009.cpp.sh.out        3.3224e-01        -4.7637e-01        1.6002e-01        1.8702e+00        1.8702e+00        1.0900e+02        2.0410e+03        1.3249e-02        4.3588e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_010.cpp.sh.out        3.4535e-01        -8.1309e-01        1.7172e-01        1.8704e+00        1.8702e+00        1.1979e+02        1.9151e+03        1.2549e-02        4.4572e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_011.cpp.sh.out        1.3271e-01        -4.2950e-01        1.1759e-01        1.8703e+00        1.8700e+00        9.9800e+01        1.7792e+03        1.3526e-02        4.8944e-03
        mass_fit_Dp_mc_mode200_momentum_costheta_012.cpp.sh.out        2.1517e-01        -5.8934e-01        1.7257e-01        1.8695e+00        1.8701e+00        1.1372e+02        1.5843e+03        1.1748e-02        4.4285e-03
