          path                                                              c0                 c1              fsig                 mean1             mean2              nbkg              nsig            sigma1            sigma2    
        mass_fit_mc_mode401_momentum_costheta_030.cpp.sh.out        2.5955e-01        -9.9740e-02        5.5431e-01        1.9683e+00        1.9684e+00        3.3021e+01        8.3805e+02        3.1761e-03        6.4767e-03
        mass_fit_mc_mode401_momentum_costheta_031.cpp.sh.out        -8.1473e-02        4.0757e-01        8.5781e-01        1.9687e+00        1.9683e+00        2.0427e+01        7.9763e+02        3.8192e-03        1.2770e-02
        mass_fit_mc_mode401_momentum_costheta_032.cpp.sh.out        3.5314e-02        -4.7051e-01        6.5362e-01        1.9683e+00        1.9698e+00        6.2357e+01        7.5972e+02        3.3284e-03        6.9374e-03
        mass_fit_mc_mode401_momentum_costheta_033.cpp.sh.out        1.8817e-01        -1.0363e+00        6.0114e-02        1.9668e+00        1.9687e+00        9.7418e+01        7.0052e+02        5.9369e-04        4.1838e-03
        mass_fit_mc_mode401_momentum_costheta_034.cpp.sh.out        1.4782e+00        -2.4997e+00        8.9225e-01        1.9691e+00        1.9654e+00        6.5444e+01        6.9510e+02        3.8699e-03        8.3229e-03
        mass_fit_mc_mode401_momentum_costheta_035.cpp.sh.out        2.1431e-01        -1.3664e+00        1.8800e-01        1.9683e+00        1.9689e+00        7.5342e+01        6.1963e+02        3.0898e-03        4.7803e-03
        mass_fit_mc_mode401_momentum_costheta_036.cpp.sh.out        4.7477e-01        -1.1944e+00        6.3350e-01        1.9685e+00        1.9703e+00        4.9966e+01        6.2703e+02        3.4494e-03        6.9462e-03
        mass_fit_mc_mode401_momentum_costheta_037.cpp.sh.out        9.9998e-01        -7.7404e-01        8.3556e-01        1.9690e+00        1.9666e+00        2.5240e+01        6.3376e+02        3.9632e-03        1.2338e-02
        mass_fit_mc_mode401_momentum_costheta_038.cpp.sh.out        -1.9310e-01        -1.2759e-01        6.7167e-01        1.9693e+00        1.9669e+00        5.5779e+01        6.0336e+02        3.4668e-03        5.6305e-03
        mass_fit_mc_mode401_momentum_costheta_039.cpp.sh.out        2.3252e-01        -8.6305e-01        1.9432e-01        1.9730e+00        1.9680e+00        5.4870e+01        5.2315e+02        2.5721e-03        3.8895e-03
        mass_fit_mc_mode401_momentum_costheta_040.cpp.sh.out        2.6128e-01        -4.7008e-01        1.0464e-01        1.9688e+00        1.9691e+00        5.8152e+01        5.1881e+02        1.4604e-03        4.9589e-03
